Team 1,Team 2,Bet Type,Bet Info,Odds,Date of game,DateTime(when got odds),Sportsbook Name,Sport
BAL Ravens,LA Chargers,MoneyLine,BAL Ravens,−155,MON NOV 25TH,2024-11-14 15:43:59.863692,DraftKings,NFL
LA Chargers,BAL Ravens,Spread,+3,−115,MON NOV 25TH,2024-11-14 15:43:59.864000,DraftKings,NFL
LA Chargers,BAL Ravens,Total,U47,−110,MON NOV 25TH,2024-11-14 15:43:59.864005,DraftKings,NFL
LA Chargers,BAL Ravens,MoneyLine,LA Chargers,+130,MON NOV 25TH,2024-11-14 15:43:59.864009,DraftKings,NFL
DAL Mavericks,UTA Jazz,Spread,-8.5,−110,Today ,2024-11-14 15:44:01.734139,DraftKings,NBA
DAL Mavericks,UTA Jazz,Total,O230.5,−108,Today ,2024-11-14 15:44:01.734166,DraftKings,NBA
DAL Mavericks,UTA Jazz,MoneyLine,DAL Mavericks,−360,Today ,2024-11-14 15:44:01.734171,DraftKings,NBA
UTA Jazz,DAL Mavericks,Spread,+8.5,−110,Today ,2024-11-14 15:44:01.734484,DraftKings,NBA
UTA Jazz,DAL Mavericks,Total,U230.5,−112,Today ,2024-11-14 15:44:01.734489,DraftKings,NBA
UTA Jazz,DAL Mavericks,MoneyLine,UTA Jazz,+285,Today ,2024-11-14 15:44:01.734494,DraftKings,NBA
PHI 76ers,ORL Magic,Spread,-3,−110,Tomorrow ,2024-11-14 15:44:01.735071,DraftKings,NBA
PHI 76ers,ORL Magic,Total,O221.5,−110,Tomorrow ,2024-11-14 15:44:01.735077,DraftKings,NBA
PHI 76ers,ORL Magic,MoneyLine,PHI 76ers,−148,Tomorrow ,2024-11-14 15:44:01.735083,DraftKings,NBA
ORL Magic,PHI 76ers,Spread,+3,−110,Tomorrow ,2024-11-14 15:44:01.735393,DraftKings,NBA
ORL Magic,PHI 76ers,Total,U221.5,−110,Tomorrow ,2024-11-14 15:44:01.735399,DraftKings,NBA
ORL Magic,PHI 76ers,MoneyLine,ORL Magic,+124,Tomorrow ,2024-11-14 15:44:01.735403,DraftKings,NBA
DET Pistons,TOR Raptors,Spread,+2.5,−110,Tomorrow ,2024-11-14 15:44:01.735711,DraftKings,NBA
DET Pistons,TOR Raptors,Total,O230,−110,Tomorrow ,2024-11-14 15:44:01.735717,DraftKings,NBA
